stunde;theta_e;I_N;I_N_dir;I_N_dif;I_E;I_E_dir;I_E_dif;I_S;I_S_dir;I_S_dif;I_W;I_W_dir;I_W_dif;I_H;I_H_dir;I_H_dif
4819;29.4;93.275;61.911;31.364;31.364;0.0;31.364;31.364;0.0;31.364;203.078;171.714;31.364;61.205;27.796;33.409
4820;26.7;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;1;0;1
4821;23.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4822;22.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4823;21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4824;20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4825;19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4826;18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4827;16.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4828;15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4829;14.4;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;0.507;0.0;0.507;1;0;1
4830;16.1;105.428;69.382;36.046;212.865;176.819;36.046;36.046;0.0;36.046;36.046;0.0;36.046;73.45;21.505;51.945
4831;19.4;229.218;123.728;105.49;662.967;557.477;105.49;105.49;0.0;105.49;105.49;0.0;105.49;316.086;179.814;136.272
4832;23.3;186.074;46.441;139.633;881.887;742.254;139.633;139.633;0.0;139.633;139.633;0.0;139.633;548.036;410.269;137.767
4833;26.1;150.246;0.0;150.246;914.215;763.968;150.246;233.652;83.406;150.246;150.246;0.0;150.246;746.304;654.004;92.3
4834;28.3;157.41;0.0;157.41;775.613;618.203;157.41;363.213;205.804;157.41;157.41;0.0;157.41;893.288;823.676;69.612
4835;30.6;146.33;0.0;146.33;533.66;387.331;146.33;429.14;282.81;146.33;146.33;0.0;146.33;938.565;899.11;39.455
4836;32.2;138.443;0.0;138.443;285.67;147.228;138.443;463.71;325.267;138.443;138.443;0.0;138.443;968.078;945.614;22.464
4837;33.3;126.758;0.0;126.758;126.758;0.0;126.758;445.795;319.038;126.758;223.432;96.674;126.758;934.811;920.902;13.91
4838;33.9;117.926;0.0;117.926;117.926;0.0;117.926;377.458;259.532;117.926;419.854;301.928;117.926;823.421;804.533;18.888
4839;32.8;107.466;0.0;107.466;107.466;0.0;107.466;280.48;173.015;107.466;552.166;444.7;107.466;678.157;650.782;27.375
4840;32.2;97.436;0.0;97.436;97.436;0.0;97.436;174.02;76.584;97.436;620.226;522.789;97.436;534.156;485.989;48.167
4841;31.1;101.052;14.735;86.317;86.317;0.0;86.317;86.317;0.0;86.317;558.671;472.354;86.317;341.848;285.178;56.67
4842;31.1;145.19;88.434;56.755;56.755;0.0;56.755;56.755;0.0;56.755;519.852;463.097;56.755;207.38;168.439;38.94
4843;28.3;76.198;48.209;27.989;27.989;0.0;27.989;27.989;0.0;27.989;162.824;134.835;27.989;55.064;21.516;33.548
4844;25.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4845;23.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4846;23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4847;22.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4848;21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4849;21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4850;19.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4851;18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4852;18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4853;18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4854;18.9;93.517;60.074;33.443;187.693;154.25;33.443;33.443;0.0;33.443;33.443;0.0;33.443;65.725;18.361;47.364
4855;22.2;208.109;105.168;102.941;583.118;480.178;102.941;102.941;0.0;102.941;102.941;0.0;102.941;290.548;153.645;136.903
4856;25;180.618;42.027;138.591;845.525;706.934;138.591;138.591;0.0;138.591;138.591;0.0;138.591;529.426;388.799;140.628
4857;27.8;150.129;0.0;150.129;914.319;764.19;150.129;236.308;86.18;150.129;150.129;0.0;150.129;744.311;651.742;92.569
4858;30;157.73;0.0;157.73;776.492;618.762;157.73;366.575;208.845;157.73;157.73;0.0;157.73;892.271;821.824;70.446
4859;30.6;149.831;0.0;149.831;544.178;394.347;149.831;440.553;290.723;149.831;149.831;0.0;149.831;954.936;912.739;42.196
4860;31.7;138.458;0.0;138.458;285.964;147.506;138.458;466.922;328.464;138.458;138.458;0.0;138.458;967.067;944.393;22.674
4861;32.2;126.755;0.0;126.755;126.755;0.0;126.755;448.916;322.161;126.755;223.448;96.693;126.755;933.833;919.758;14.075
4862;32.2;117.484;0.0;117.484;117.484;0.0;117.484;387.241;269.757;117.484;428.203;310.719;117.484;847.571;826.076;21.495
4863;32.2;107.434;0.0;107.434;107.434;0.0;107.434;282.951;175.517;107.434;552.64;445.206;107.434;677.272;649.785;27.487
4864;31.7;116.67;0.0;116.67;116.67;0.0;116.67;172.501;55.831;116.67;487.896;371.226;116.67;440.313;343.975;96.338
4865;29.4;98.55;13.204;85.346;85.346;0.0;85.346;85.346;0.0;85.346;559.03;473.684;85.346;340.176;284.753;55.423
4866;28.3;142.899;86.828;56.07;56.07;0.0;56.07;56.07;0.0;56.07;518.2;462.13;56.07;205.239;166.972;38.267
4867;26.7;77.487;49.955;27.532;27.532;0.0;27.532;27.532;0.0;27.532;168.457;140.925;27.532;54.964;22.148;32.816
4868;26.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4869;25.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4870;23.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4871;23.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4872;22.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4873;21.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4874;21.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
